year,month,day,hour,min,second,validity,source,earthquake_mag,country,name,lat,lng,water_height,tsunami_mag_lida,tsunami_intensity,death_nbr,injuries_nbr,damage_mill,damage_code,house_destroyed,house_code
-1300,0,0,0,0,0,questionable tsunami,Unknown,7,TURKEY,"IONIAN COASTS, TROAD",39.96,26.24,0,0,5,0,0,0,0,0,0
-479,0,0,0,0,0,questionable tsunami,Earthquake,7,GREECE,NORTH AEGEAN,39.7,23.3,0,0,3,0,0,0,0,0,0
-426,6,0,0,0,0,definite tsunami,Earthquake,7.1,GREECE,CORINTHOS-PATRAS GULF,38.9,22.7,0,0,5,0,0,5,2,0,2
-373,0,0,0,0,0,definite tsunami,Earthquake and Landslide,7.3,GREECE,CORINTHOS-PATRAS GULF,38.25,22.25,0,0,5,0,0,24,3,0,3
-330,0,0,0,0,0,very doubtful tsunami,Earthquake,7,GREECE,"E. SPORADES ISLANDS, AEGEAN ISLANDS",40,25,0,0,0,0,0,0,0,0,0
-227,0,0,0,0,0,questionable tsunami,Earthquake,7.2,GREECE,DODECANESE ISLANDS,36.3,28.3,0,0,3,0,0,1,1,0,0
-60,0,0,0,0,0,very doubtful tsunami,Earthquake,6.7,PORTUGAL,CABO SAN VICENTE,36,-10,0,0,0,0,0,0,0,0,0
-58,0,0,0,0,0,questionable tsunami,Earthquake,6.6,ALBANIA,ALBANIA,41.3,19.5,0,0,3,0,0,0,0,0,0
-50,0,0,0,0,0,very doubtful tsunami,Earthquake,5.5,GEORGIA,BLACK SEA,43,41,0,0,0,0,0,5,2,0,0
46,0,0,0,0,0,definite tsunami,Volcano,0,GREECE,THERA ISLAND (SANTORINI),36.404,25.396,0,0,3,0,0,0,0,0,0
62,0,0,0,0,0,questionable tsunami,Earthquake,6.9,GREECE,CRETE,35.2,25.1,0,0,3,0,0,0,0,0,0
76,6,20,0,0,0,very doubtful tsunami,Earthquake,6.3,CYPRUS,LEVANTIAN SEA,34.8,32,0,0,4,0,0,0,0,0,0
115,12,13,0,0,0,questionable tsunami,Earthquake,7.5,TURKEY,ANTAKYA (ANTIOCH),36.1,36.1,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,questionable tsunami,Earthquake,7.2,TURKEY,MARMARA SEA,40.77,29.92,0,0,2,0,0,0,0,0,0
123,0,0,0,0,0,event that only caused a seiche or disturbance in an inland river,Earthquake,6.3,SOUTH KOREA,SEA OF JAPAN,35.8,129.2,0,0,0,0,0,1,1,0,2
142,0,0,0,0,0,probable tsunami,Earthquake,7,GREECE,DODECANESE ISLANDS,36.7,28,0,0,4,0,0,5,2,0,2
346,0,0,0,0,0,very doubtful tsunami,Earthquake,6.8,ALBANIA,ADRIATIC SEA,41.4,19.4,0,0,0,0,0,1,1,0,1
348,0,0,0,0,0,very doubtful tsunami,Earthquake,4.1,TURKEY,LEVANTIAN SEA,33.9,35.5,0,0,3,0,0,0,0,0,0
365,7,21,0,0,0,definite tsunami,Earthquake,8,GREECE,CRETE,35,23,0,0,4,5000,0,25,4,0,3
368,0,0,0,0,0,questionable tsunami,Earthquake,6.4,TURKEY,MARMARA SEA,40.5,29.6,0,0,0,0,0,0,0,0,0
407,4,1,0,0,0,very doubtful tsunami,Earthquake,6.6,TURKEY,MARMARA SEA,41,29,0,0,4,0,0,1,1,0,0
