dtg,lat,lng,mag,depth
"1900-07-12 06:25:00",40.300000,43.100000,5.90,0
"1900-09-10 21:30:00",-4.000000,152.000000,6.80,0
"1900-10-07 21:04:00",-4.000000,140.000000,6.90,33
"1900-09-17 21:45:00",-5.000000,148.000000,7.10,0
"1900-01-20 06:33:00",20.000000,-105.000000,7.40,10
"1900-06-21 20:52:00",10.000000,-85.500000,7.50,60
"1900-07-29 06:59:00",-10.000000,165.000000,7.60,33
"1900-01-11 09:07:00",36.500000,133.500000,7.80,0
"1900-05-16 20:12:00",20.000000,-105.000000,7.80,60
"1900-12-25 05:09:00",43.000000,146.000000,7.90,40
"1900-09-18 00:00:00",4.600000,-74.000000,7.90,0
"1900-10-09 12:25:00",57.090000,-153.480000,8.30,0
"1900-10-29 09:11:00",11.000000,-66.000000,8.40,25
"1901-12-18 03:51:00",39.400000,26.700000,5.90,0
"1901-02-15 00:00:00",26.000000,100.100000,6.00,0
"1901-11-08 10:18:00",40.000000,41.500000,6.10,0
"1901-08-09 20:00:00",40.500000,142.500000,6.30,33
"1901-03-31 07:11:00",43.400000,28.700000,6.40,0
"1901-03-03 07:45:00",36.000000,-120.500000,6.40,0
"1901-10-08 02:16:00",11.000000,-86.500000,7.00,0
"1901-03-31 07:12:00",43.400000,28.500000,7.20,0
"1901-04-05 22:30:00",45.000000,148.000000,7.50,30
"1901-12-31 09:02:00",51.450000,-171.020000,7.80,0
"1901-12-14 22:57:00",14.000000,122.000000,7.80,33
"1901-01-07 00:29:00",-2.000000,-82.000000,7.80,25
"1901-08-09 09:23:00",40.500000,142.500000,7.90,33
"1901-06-24 07:02:00",27.000000,130.000000,7.90,60
"1901-08-09 18:33:00",40.600000,142.300000,8.20,33
"1901-08-09 13:01:00",-22.000000,170.000000,8.40,60
"1902-03-09 07:46:00",40.700000,33.600000,5.50,0
"1902-08-00 00:00:00",26.300000,99.900000,5.50,0
"1902-01-18 23:23:00",14.710000,-91.590000,6.30,0
"1902-12-16 05:07:00",40.800000,72.300000,6.40,9
"1902-07-05 14:56:00",40.750000,23.250000,6.60,0
"1902-02-13 09:39:00",40.700000,48.600000,6.90,15
"1902-01-16 00:00:00",17.600000,-99.700000,7.00,0
"1902-02-26 00:00:00",13.500000,-89.500000,7.00,0
"1902-08-21 11:17:00",7.500000,123.500000,7.30,0
"1902-04-19 02:23:00",14.000000,-91.000000,7.50,33
"1902-08-22 03:00:00",39.880000,76.200000,7.70,30
"1902-01-01 05:20:00",52.400000,-167.500000,7.80,0
"1902-12-12 23:10:00",29.000000,-114.000000,7.80,60
"1902-09-23 20:18:00",16.600000,-92.600000,7.80,100
"1902-01-24 23:27:00",-8.000000,150.000000,7.80,60
"1902-02-09 07:35:00",-20.000000,-174.000000,7.80,60
"1902-06-11 05:00:00",50.000000,148.000000,8.00,600
"1902-09-22 01:46:00",18.000000,146.000000,8.10,33
"1903-03-29 22:30:00",32.200000,35.300000,5.70,0
"1903-05-28 03:58:00",40.900000,42.700000,5.80,0
"1903-04-28 23:46:00",39.100000,42.500000,6.30,0
"1903-09-25 01:20:00",35.200000,58.200000,6.50,0
"1903-03-30 00:00:00",-3.000000,127.500000,6.50,33
"1903-12-07 14:25:00",-28.500000,-71.000000,6.50,0
"1903-01-14 01:47:00",15.000000,-98.000000,7.70,33
"1903-08-08 01:10:00",4.600000,-74.000000,7.70,0
"1903-02-01 09:34:00",48.000000,98.000000,7.80,60
"1903-08-11 04:32:00",36.000000,23.000000,7.80,100
"1903-12-28 02:56:00",7.000000,126.000000,7.80,60
"1903-05-13 06:34:00",-17.000000,168.000000,7.90,60
"1903-01-04 05:07:00",-20.000000,-175.000000,8.00,400
"1903-02-27 00:43:00",-8.000000,106.000000,8.10,0
"1903-06-02 13:17:00",61.560000,-158.540000,8.30,0
"1904-08-30 00:00:00",31.200000,100.900000,6.00,0
"1904-04-24 06:39:00",23.500000,120.500000,6.00,0
"1904-08-11 05:56:00",37.750000,27.000000,6.20,10
"1904-11-05 20:25:00",23.500000,120.300000,6.30,0
"1904-12-20 05:44:00",9.200000,-82.800000,7.20,60
"1904-04-04 10:03:00",41.800000,23.200000,7.50,15
"1904-08-08 22:51:00",-40.500000,177.000000,7.50,33
"1904-03-18 13:42:00",42.500000,145.800000,7.60,40
"1904-11-01 11:00:00",-1.000000,-80.500000,7.70,0
"1904-04-04 10:27:00",41.800000,23.200000,7.80,15
"1904-06-27 00:09:00",52.000000,159.000000,7.90,60
"1904-06-07 08:17:00",40.000000,134.000000,7.90,350
"1904-08-24 20:59:00",30.000000,130.000000,7.90,25
"1904-01-20 14:52:00",7.000000,-79.000000,7.90,60
"1904-06-25 21:00:00",52.000000,159.000000,8.10,30
"1904-08-27 21:56:00",64.660000,-148.080000,8.30,0
"1904-06-25 14:45:00",52.000000,159.000000,8.30,30
"1905-11-08 03:27:00",29.300000,104.800000,5.00,0
"1905-10-04 22:29:00",44.500000,37.500000,5.10,0
"1905-10-08 07:27:00",42.000000,23.000000,6.40,33
"1905-04-15 00:00:00",40.200000,29.000000,6.50,33
"1905-12-08 08:22:00",11.000000,123.500000,6.50,0
"1905-06-01 04:42:00",42.100000,19.600000,6.60,20
"1905-12-04 07:04:00",38.100000,38.600000,6.80,0
"1905-01-20 18:23:00",9.850000,-84.680000,6.80,0
"1905-07-06 16:21:00",37.400000,142.600000,7.00,33
"1905-09-08 01:43:00",38.670000,16.070000,7.10,15
"1905-09-01 02:45:00",45.000000,143.000000,7.50,230
"1905-10-21 11:01:00",42.000000,42.000000,7.50,60
"1905-05-18 13:45:00",-4.000000,149.000000,7.50,60
"1905-03-18 00:58:00",-27.500000,-173.000000,7.50,60
"1905-06-30 17:07:00",-1.000000,-168.000000,7.60,60
"1905-09-15 06:02:00",53.000000,164.000000,7.80,60
"1905-11-08 21:41:00",40.250000,24.200000,7.80,30
"1905-06-02 05:39:00",34.000000,132.000000,7.80,100
"1905-04-04 00:50:00",33.000000,76.000000,7.80,25
"1905-02-14 08:46:00",50.730000,-178.550000,7.90,0
"1905-07-09 09:40:00",49.000000,99.000000,8.40,33
"1905-07-23 02:46:00",49.000000,98.000000,8.40,33
"1905-01-22 02:43:00",1.000000,123.000000,8.40,90
"1906-11-20 21:00:00",6.500000,0.300000,5.00,0
"1906-05-00 00:00:00",24.600000,98.600000,5.30,0
"1906-01-07 00:00:00",26.600000,104.100000,5.50,0
"1906-03-01 17:45:00",41.100000,20.000000,6.50,15
"1906-03-28 00:00:00",24.500000,118.500000,6.50,0
"1906-04-13 19:18:00",23.400000,120.400000,6.50,0
"1906-03-16 22:42:00",23.600000,120.500000,6.80,0
"1906-08-25 00:00:00",9.000000,38.400000,6.80,0
"1906-10-02 01:50:00",-4.000000,149.000000,7.20,0
"1906-04-10 21:22:00",19.000000,-113.800000,7.50,60
"1906-12-23 17:22:00",56.850000,-153.900000,7.60,0
"1906-07-11 00:00:00",4.600000,-74.000000,7.70,0
"1906-07-14 10:27:00",4.600000,-74.000000,7.70,0
"1906-02-03 00:00:00",3.500000,-76.200000,7.70,0
"1906-08-17 00:10:00",51.050000,179.690000,7.80,25
"1906-11-19 07:18:00",-22.000000,109.000000,7.80,0
"1906-04-18 13:12:00",37.670000,-122.480000,7.90,20
"1906-12-03 22:59:00",15.000000,-61.000000,7.90,100
"1906-09-28 15:24:00",-2.000000,-79.000000,7.90,150
"1906-12-26 06:53:00",-18.000000,-71.000000,7.90,33
"1906-09-14 16:04:00",-7.000000,149.000000,8.00,33
"1906-08-17 00:40:00",-33.000000,-72.000000,8.20,25
"1906-12-22 18:21:00",43.500000,85.000000,8.30,33
"1906-01-21 13:49:00",34.000000,138.000000,8.40,340
"1906-01-31 15:35:00",1.000000,-81.500000,8.60,25
"1907-09-24 12:59:00",59.500000,-135.500000,5.50,0
"1907-10-23 20:28:00",38.133000,16.017000,5.90,33
"1907-08-16 13:00:00",41.100000,20.100000,6.20,13
"1907-01-14 21:36:00",18.200000,-76.800000,6.50,0
"1907-03-29 20:46:00",3.000000,122.000000,7.30,500
"1907-10-21 04:23:00",38.500000,67.900000,7.40,35
"1907-04-18 23:52:00",13.500000,123.000000,7.40,0
"1907-12-15 17:35:00",-3.100000,142.500000,7.40,33
"1907-04-18 20:59:00",14.000000,123.000000,7.60,0
"1907-02-23 20:17:00",-13.200000,-75.400000,7.60,90
"1907-10-16 14:57:00",28.000000,-112.500000,7.70,60
"1907-05-04 06:51:00",-7.500000,153.700000,7.70,60
"1907-09-02 16:01:00",52.590000,-169.730000,7.80,0
"1907-01-04 05:19:00",2.000000,94.500000,7.80,50
"1907-05-25 14:02:00",51.500000,147.000000,7.90,600
"1907-06-25 17:54:00",1.000000,127.000000,7.90,200
"1907-04-15 06:08:00",17.000000,-100.000000,8.30,60
"1908-02-14 11:25:00",61.000000,-146.200000,6.00,0
"1908-03-23 12:20:00",-10.000000,129.000000,6.60,0
"1908-09-21 06:31:00",19.000000,-155.000000,6.80,33
"1908-12-28 04:20:00",38.170000,15.580000,7.00,40
"1908-10-23 20:14:00",36.500000,70.500000,7.00,220
"1908-12-12 00:00:00",26.500000,97.000000,7.50,0
"1908-03-27 03:45:00",17.000000,-101.000000,7.50,0
"1908-03-05 02:16:00",9.000000,126.000000,7.50,0
"1908-05-05 06:16:00",3.000000,123.000000,7.50,0
"1908-02-06 00:00:00",-2.000000,100.000000,7.50,130
"1908-11-06 07:09:00",45.000000,150.000000,7.60,40
"1908-03-26 23:03:00",18.000000,-99.000000,8.10,80
"1908-12-12 12:08:00",-14.000000,-78.000000,8.20,33
"1909-10-31 10:23:00",17.000000,-101.200000,4.70,0
"1909-07-15 00:28:00",37.900000,21.500000,5.70,4
"1909-10-29 17:38:00",40.300000,29.600000,5.80,0
"1909-01-19 04:56:00",38.600000,26.900000,5.80,0
"1909-06-11 21:06:00",43.700000,5.400000,6.20,0
"1909-02-09 11:24:00",40.200000,37.800000,6.30,0
"1909-05-11 15:54:00",24.400000,103.000000,6.50,0
"1909-04-23 17:39:00",38.900000,-8.800000,6.60,0
"1909-03-12 23:19:00",34.500000,141.500000,6.70,0
"1909-08-14 06:30:00",35.400000,136.300000,6.90,33
"1909-10-20 23:41:00",30.000000,68.000000,7.20,60
"1909-04-14 19:53:00",25.000000,121.500000,7.30,0
"1909-11-21 07:36:00",24.400000,121.800000,7.30,0
"1909-03-13 14:29:00",34.500000,141.500000,7.50,80
"1909-06-03 18:40:00",-2.000000,101.000000,7.60,40
"1909-06-08 05:46:00",-26.500000,-70.500000,7.60,0
"1909-01-23 02:48:00",33.000000,50.000000,7.70,33
"1909-12-09 23:23:00",-10.000000,165.000000,7.70,0
"1909-04-10 19:36:00",52.000000,175.000000,7.80,0
"1909-07-30 10:51:00",16.800000,-99.800000,7.80,0
"1909-02-22 09:21:00",-18.000000,-179.000000,7.80,550
"1909-11-10 06:13:00",32.000000,131.000000,7.90,190
"1909-12-09 23:28:00",12.500000,145.000000,8.00,100
"1909-07-07 21:37:00",36.500000,70.500000,8.10,230
"1910-06-07 02:05:00",40.900000,15.400000,5.90,33
"1910-02-25 00:00:00",-4.250000,152.250000,6.00,0
"1910-06-25 19:26:00",40.900000,34.600000,6.10,0
"1910-12-30 00:00:00",9.000000,125.500000,6.20,60
"1910-06-24 13:27:00",36.000000,4.000000,6.40,33
"1910-12-18 02:42:00",4.000000,127.000000,6.70,0
"1910-01-08 14:49:00",35.000000,122.000000,6.80,0
"1910-09-24 03:00:00",16.800000,-95.900000,6.90,0
"1910-11-10 12:19:00",-14.000000,166.500000,7.20,90
"1910-12-13 11:37:00",-8.000000,31.000000,7.30,0
"1910-02-12 18:10:00",33.000000,138.500000,7.40,350
"1910-05-22 06:25:00",42.000000,145.000000,7.50,60
"1910-01-01 11:02:00",17.000000,-85.000000,7.50,60
"1910-12-16 14:45:00",4.500000,126.000000,7.50,0
"1910-06-01 05:55:00",-20.000000,169.000000,7.50,80
"1910-04-12 00:22:00",25.500000,122.500000,7.80,200
"1910-11-09 06:02:00",-16.000000,166.000000,7.90,70
"1910-06-16 06:30:00",-19.000000,169.500000,7.90,100
"1910-11-26 04:39:00",-8.000000,167.000000,8.00,33
"1911-10-15 08:52:00",37.700000,15.200000,4.30,1
"1911-07-24 00:00:00",43.200000,0.200000,5.00,0
"1911-01-26 00:00:00",39.800000,114.500000,5.50,0
"1911-05-14 00:00:00",23.000000,115.300000,5.50,0
"1911-02-18 21:36:00",41.100000,20.700000,6.70,0
"1911-04-18 18:14:00",31.230000,57.030000,6.70,50
"1911-09-22 05:01:00",60.500000,-149.000000,6.90,60
"1911-09-15 13:10:00",-20.000000,-72.000000,7.30,0
"1911-02-18 18:41:00",38.200000,72.800000,7.40,26
"1911-05-04 23:36:00",51.800000,156.000000,7.60,240
"1911-07-04 13:33:00",36.000000,70.500000,7.60,190
"1911-12-16 19:14:00",17.000000,-100.700000,7.60,50
"1911-01-03 23:25:00",43.500000,77.500000,7.70,25
"1911-08-16 22:41:00",7.000000,137.000000,7.70,17
"1911-07-12 04:07:00",9.000000,126.000000,7.80,50
"1911-06-07 11:02:00",17.500000,-102.500000,7.90,11
"1911-06-15 14:26:00",28.000000,130.000000,8.00,160
"1912-06-08 04:42:00",40.500000,142.000000,6.60,100
"1912-10-31 17:24:00",7.000000,138.000000,6.90,33
"1912-01-24 16:23:00",38.000000,20.500000,7.00,60
"1912-07-24 11:50:00",-5.620000,-80.413000,7.00,30
"1912-05-06 18:59:00",64.000000,-20.000000,7.50,60
"1912-11-07 07:40:00",57.500000,-155.000000,7.50,90
"1912-09-29 20:51:00",7.000000,138.000000,7.50,50
"1912-12-07 22:46:00",-29.000000,-62.500000,7.50,620
"1912-08-09 01:29:00",40.500000,27.200000,7.80,60
"1912-11-19 13:18:00",19.900000,-99.800000,7.80,0
"1912-05-23 02:24:00",21.000000,97.000000,8.00,25
"1913-03-24 10:34:00",26.800000,53.700000,5.80,0
"1913-08-00 00:00:00",28.400000,102.300000,6.00,0
"1913-11-04 21:33:00",-14.200000,-72.900000,6.30,10
"1913-10-02 04:23:00",7.100000,-80.600000,6.70,0
"1913-06-14 09:33:00",43.500000,25.500000,6.80,0
"1913-02-22 02:36:00",-41.800000,171.500000,6.80,33
"1913-12-21 15:37:00",24.150000,102.450000,7.00,10
"1913-10-11 04:06:00",-7.000000,148.000000,7.00,33
"1913-07-28 06:40:00",-16.600000,-73.300000,7.00,30
"1913-01-19 23:48:00",46.000000,152.000000,7.50,120
"1913-05-30 11:46:00",-5.000000,154.000000,7.50,60
"1913-11-10 21:12:00",-18.000000,169.000000,7.50,80
"1913-06-26 04:57:00",-20.000000,-174.000000,7.60,33
"1913-08-01 17:10:00",47.500000,155.500000,7.70,60
"1913-04-25 17:56:00",9.500000,127.800000,7.70,60
"1913-02-24 02:30:00",-3.400000,-79.600000,7.70,50
"1913-03-14 08:45:00",5.354000,126.121000,7.80,15
"1913-08-06 22:14:00",-17.000000,-74.000000,7.90,33
"1913-10-14 08:08:00",-19.500000,169.000000,8.10,230
"1914-05-08 18:01:00",37.700000,15.200000,4.90,0
"1914-05-28 11:27:00",39.200000,36.000000,5.60,0
"1914-05-31 00:00:00",-0.200000,-78.200000,5.80,10
"1914-10-17 06:22:00",38.250000,23.250000,6.00,0
"1914-11-27 14:39:00",38.800000,20.600000,6.30,30
"1914-10-03 22:06:00",37.820000,30.270000,7.00,0
"1914-01-12 00:00:00",31.580000,130.670000,7.10,0
"1914-03-15 20:00:00",39.200000,139.800000,7.20,33
"1914-02-26 04:58:00",-17.000000,-72.000000,7.20,130
"1914-08-04 22:41:00",43.500000,91.500000,7.50,0
"1914-03-30 00:41:00",16.800000,-92.200000,7.50,150
"1914-10-23 06:18:00",6.000000,132.500000,7.60,60
"1914-06-25 19:07:00",-3.924000,101.820000,7.60,35
"1914-01-30 03:35:00",-35.000000,-73.000000,7.60,33
